movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
80,Cars,http://resizing.flixster.com/LVmmDUeCVlq9gYapYjWXBo7jbY4=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/92/20/10922005_ori.jpg,6.9,7.2,G,117,Disney / Pixar,"$461,983,149.00 ",09-Jun-06
81,Casino Royale,http://resizing.flixster.com/nVwVWCdXtCU2QjoiYNi_3CNFGOw=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/81/11128111_ori.jpg,7.8,8,PG-13,144,MGM / Columbia,"$599,045,960.00 ",17-Nov-06
82,Happy Feet,http://resizing.flixster.com/bCM1HcCJyha7Woh-txAHhyjEDqo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166724_ori.jpg,6.9,6.5,PG,108,Warner Bros.,"$384,335,608.00 ",17-Nov-06
83,Ice Age: The Meltdown,http://resizing.flixster.com/8JL-X7PSHtVrLJV3m9vmwFY1Wq4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/34/60/10/3460109_ori.jpg,6.1,6.9,PG,91,Fox / Blue Sky,"$660,940,780.00 ",31-Mar-06
84,Mission: Impossible III,http://resizing.flixster.com/2KYbFrx6KYIzP0Bp_-g7zYjBADk=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169790_ori.jpg,6.6,6.8,PG-13,126,Paramount,"$397,850,012.00 ",05-May-06
85,Night at the Museum,http://resizing.flixster.com/YUQIBUn5Xp1WT1dWCZiAofYtYuY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/11/11181144_ori.jpg,5.3,6.4,PG,108,Fox,"$574,480,052.00 ",22-Dec-06
86,Pirates of the Caribbean: Dead Man's Chest,http://resizing.flixster.com/qk6YXbPRzxZNFCv29_ayCEa6mBY=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/78/63/786362_ori.jpg,6,7.3,PG-13,151,Disney,"$1,066,179,725.00 ",07-Jul-06
87,Superman Returns,http://resizing.flixster.com/jxYV0tzA4f2_BD9lSeOHw56i-64=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/45/20/452092_ori.jpg,7,6.1,PG-13,154,Warner Bros. / Village Roadshow,"$391,081,192.00 ",28-Jun-06
88,The Da Vinci Code,http://resizing.flixster.com/QmcEmsrcgbQ1n3RYy-ONqsrHI6I=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/31/42/314213_ori.jpg,4.8,6.5,PG-13,149,Columbia,"$758,239,851.00 ",19-May-06
89,X-Men: The Last Stand,http://resizing.flixster.com/g-qQMJ4MG4TGyU2mvktQXhvNp3k=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/74/11177483_ori.jpg,5.9,6.8,PG-13,104,Fox,"$459,359,555.00 ",26-May-06
